"jp_daily_newsletter_mary_ann_parsons_1_1850" "jp_morning_chronicle_anne_bird_1850" "jp_morning_chronicle_dr_ellis_1846" "jp_morning_chronicle_mary_ann_parsons_2_1850" "jp_morning_chronicle_sarah_brown_1846" "jp_morning_chronicle_susan_moir_1850" "jp_morning_chronicle_wife_murder_1851" "jp_sunday_times_questionable_charity_1850" "vl_daily_newsletter_corporal_punishment_1849" "vl_morning_chronicle_captain_johnstone_1846" "vl_morning_chronicle_law_of_assault_1850" "vl_morning_chronicle_matthewson_1846" "vl_morning_chronicle_north_family_1846" "vl_morning_chronicle_william_burn_1846" "vl_remarks_on_mr_fitzroys_bill_1853" "vl_sunday_times_punishment_of_children_1850"
"jp_daily_newsletter_mary_ann_parsons_1_1850" 0 1.06524388949542 1.02112519410852 1.07144454190133 1.05629080290261 0.933329881215737 0.980430712137496 1.31307463397147 1.12244839843506 1.15464335476562 1.13347168504202 1.05271041515298 1.09831949887328 1.0756918192458 1.09553716222562 1.20727935422354
"jp_morning_chronicle_anne_bird_1850" 1.06524388949542 0 1.00447053241102 1.03472132788737 1.02709555704172 1.18027281499425 0.944686483148109 1.22521827746394 0.957528141391517 1.19232802315177 0.908744018356231 1.07012789860876 1.12209728666765 1.12770317648113 0.851718188008411 1.22538820615973
"jp_morning_chronicle_dr_ellis_1846" 1.02112519410852 1.00447053241102 0 0.991901573470771 0.969549564672531 0.945718096138639 0.920742160231425 1.13985272271363 1.08050027067782 1.08438864319654 1.05851598477409 0.881835571204542 0.9612845598567 1.03413652810654 1.05445631960229 1.09907377262655
"jp_morning_chronicle_mary_ann_parsons_2_1850" 1.07144454190133 1.03472132788737 0.991901573470771 0 1.09610139154306 1.11236172572752 1.00504246335239 1.29224502986721 1.2075597881738 1.21870604409112 1.0197124104424 1.06329888778324 1.00377216755946 1.11685704553143 1.00245765989625 1.14394862020709
"jp_morning_chronicle_sarah_brown_1846" 1.05629080290261 1.02709555704172 0.969549564672531 1.09610139154306 0 1.05076058553733 0.992915542387372 1.18349720262297 1.05268342438755 1.1258403081994 0.944827798094003 0.961732610082196 0.922292108691665 0.991092368342055 1.00271130313851 1.07587003752104
"jp_morning_chronicle_susan_moir_1850" 0.933329881215737 1.18027281499425 0.945718096138639 1.11236172572752 1.05076058553733 0 0.986302597899926 1.36436528509069 1.21212426130937 1.16765326103052 1.16306324688998 1.07352938154866 1.07843344459769 1.18250357542663 1.20015808409829 1.11510469343981
"jp_morning_chronicle_wife_murder_1851" 0.980430712137496 0.944686483148109 0.920742160231425 1.00504246335239 0.992915542387372 0.986302597899926 0 1.1946819777142 1.02865920700191 1.07098873524033 1.00321218346441 0.922356334259163 0.996041197351241 0.997259945229837 0.878834559321406 1.14312799082688
"jp_sunday_times_questionable_charity_1850" 1.31307463397147 1.22521827746394 1.13985272271363 1.29224502986721 1.18349720262297 1.36436528509069 1.1946819777142 0 1.21673249332345 1.32219536346016 1.14886299359666 1.11152679666644 1.02573891851219 1.19325366352691 1.17375351948174 1.25748504270444
"vl_daily_newsletter_corporal_punishment_1849" 1.12244839843506 0.957528141391517 1.08050027067782 1.2075597881738 1.05268342438755 1.21212426130937 1.02865920700191 1.21673249332345 0 1.19444545041639 1.06522113515536 1.03354263327349 1.17097812362968 1.05318072427729 0.848007931966269 1.11919663944592
"vl_morning_chronicle_captain_johnstone_1846" 1.15464335476562 1.19232802315177 1.08438864319654 1.21870604409112 1.1258403081994 1.16765326103052 1.07098873524033 1.32219536346016 1.19444545041639 0 1.17870153985709 0.702516184787322 1.20428861916857 1.09593732445889 1.1474749666232 1.15906074626745
"vl_morning_chronicle_law_of_assault_1850" 1.13347168504202 0.908744018356231 1.05851598477409 1.0197124104424 0.944827798094003 1.16306324688998 1.00321218346441 1.14886299359666 1.06522113515536 1.17870153985709 0 1.00915934692811 1.05075912295988 1.03802476499128 0.855494302859012 1.22820416014832
"vl_morning_chronicle_matthewson_1846" 1.05271041515298 1.07012789860876 0.881835571204542 1.06329888778324 0.961732610082196 1.07352938154866 0.922356334259163 1.11152679666644 1.03354263327349 0.702516184787322 1.00915934692811 0 0.955804300854134 0.848131417813115 0.96893243027736 1.07059351877216
"vl_morning_chronicle_north_family_1846" 1.09831949887328 1.12209728666765 0.9612845598567 1.00377216755946 0.922292108691665 1.07843344459769 0.996041197351241 1.02573891851219 1.17097812362968 1.20428861916857 1.05075912295988 0.955804300854134 0 1.05045455457061 1.06515546306351 1.16526207403653
"vl_morning_chronicle_william_burn_1846" 1.0756918192458 1.12770317648113 1.03413652810654 1.11685704553143 0.991092368342055 1.18250357542663 0.997259945229837 1.19325366352691 1.05318072427729 1.09593732445889 1.03802476499128 0.848131417813115 1.05045455457061 0 0.932218121666206 1.08419067220054
"vl_remarks_on_mr_fitzroys_bill_1853" 1.09553716222562 0.851718188008411 1.05445631960229 1.00245765989625 1.00271130313851 1.20015808409829 0.878834559321406 1.17375351948174 0.848007931966269 1.1474749666232 0.855494302859012 0.96893243027736 1.06515546306351 0.932218121666206 0 1.11465417620136
"vl_sunday_times_punishment_of_children_1850" 1.20727935422354 1.22538820615973 1.09907377262655 1.14394862020709 1.07587003752104 1.11510469343981 1.14312799082688 1.25748504270444 1.11919663944592 1.15906074626745 1.22820416014832 1.07059351877216 1.16526207403653 1.08419067220054 1.11465417620136 0
