"jp_daily_newsletter_mary_ann_parsons_1_1850" "jp_morning_chronicle_anne_bird_1850" "jp_morning_chronicle_dr_ellis_1846" "jp_morning_chronicle_mary_ann_parsons_2_1850" "jp_morning_chronicle_sarah_brown_1846" "jp_morning_chronicle_susan_moir_1850" "jp_morning_chronicle_wife_murder_1851" "jp_sunday_times_questionable_charity_1850" "vl_daily_newsletter_corporal_punishment_1849" "vl_morning_chronicle_captain_johnstone_1846" "vl_morning_chronicle_law_of_assault_1850" "vl_morning_chronicle_matthewson_1846" "vl_morning_chronicle_north_family_1846" "vl_morning_chronicle_william_burn_1846" "vl_remarks_on_mr_fitzroys_bill_1853" "vl_sunday_times_punishment_of_children_1850"
"this" 1.30391173520562 0.564015792442188 0.351493848857645 0.258899676375405 0.594353640416048 0.813008130081301 0.478468899521531 0.505050505050505 0.871839581517001 0.350877192982456 0.825471698113208 0.523560209424084 0.72992700729927 0.557324840764331 0.547829751369574 0.228571428571429
"if" 0 0.451212633953751 0.527240773286467 0.517799352750809 0.668647845468053 0.677506775067751 0.239234449760766 1.26262626262626 0.5231037489102 0.701754385964912 0.648584905660377 0.74794315632012 1.15571776155718 0.398089171974522 0.379266750948167 0.571428571428571
"their" 0.601805416248746 0.846023688663283 0.175746924428823 0.776699029126214 0.297176820208024 0.40650406504065 0.637958532695375 0.252525252525253 0.2615518744551 0.467836257309941 1.12028301886792 0.37397157816006 0.547445255474453 0.557324840764331 0.67425200168563 0.342857142857143
"his" 0.100300902708124 0 0.70298769771529 0.129449838187702 0.445765230312036 0.2710027100271 0.87719298245614 0 0.0871839581517001 0.818713450292398 0.412735849056604 0.822737471952132 1.27737226277372 1.11464968152866 0.126422250316056 1.6
"they" 0.100300902708124 0.394811054709532 0.790861159929701 0.517799352750809 0.297176820208024 0.2710027100271 0.478468899521531 0.378787878787879 0.5231037489102 1.05263157894737 1.12028301886792 0.523560209424084 0.121654501216545 0.477707006369427 0.67425200168563 0.342857142857143
"who" 0.902708124373119 0.0564015792442188 0.263620386643234 0.711974110032362 0.668647845468053 0.677506775067751 0.398724082934609 0 0.610287707061901 0.935672514619883 0.471698113207547 0.523560209424084 0.364963503649635 0.875796178343949 0.337126000842815 0.8
"with" 0.601805416248746 0.620417371686407 0.527240773286467 0.323624595469256 0.445765230312036 0.40650406504065 0.318979266347687 0.631313131313131 0.4359197907585 0.467836257309941 0.943396226415094 0.37397157816006 0.182481751824818 0.557324840764331 0.67425200168563 0.228571428571429
"would" 0.300902708124373 0.451212633953751 0.263620386643234 0.388349514563107 0.0742942050520059 0.813008130081301 0.398724082934609 0.126262626262626 0.697471665213601 0.233918128654971 0.412735849056604 0.74794315632012 0.608272506082725 0.796178343949045 0.800674252001686 0.342857142857143
"one" 0.200601805416249 0.620417371686407 0.439367311072056 0.906148867313916 0.594353640416048 0 0.159489633173844 0.505050505050505 0.3487358326068 0.233918128654971 0.471698113207547 0.37397157816006 0.851581508515815 0.477707006369427 0.589970501474926 0.228571428571429
"had" 0.802407221664995 0.112803158488438 0.615114235500879 0.323624595469256 1.2630014858841 0.948509485094851 0.478468899521531 0.126262626262626 0.1743679163034 1.05263157894737 0.17688679245283 0.74794315632012 0.669099756690998 0.398089171974522 0.126422250316056 0.228571428571429
